bibcode,journal,title,year,volume,doi,hip_tyc_id,simbad_main_id
2009A&A...498..961R,A&A,"Catalogue of Ap, HgMn and Am stars.",2009,498,10.1051/0004-6361/200810788,HIP 67231,*  84 UMa
2009AstBu..64..239R,AstBu,Magnetic fields of chemically peculiar stars. II: magnetic fields and rotation of stars with strong and weak anomalies in the continuum energy  distribution.,2009,64,10.1134/S1990341309030043,HIP 67231,*  84 UMa
2009MNRAS.394.1338B,MNRAS,Catalogue of averaged stellar effective magnetic fields - II.  Re-discussion of chemically peculiar A and B stars.,2009,394,10.1111/j.1365-2966.2008.14227.x,HIP 67231,*  84 UMa
2008MNRAS.385..481L,MNRAS,Effective temperatures of magnetic chemically peculiar stars from full  spectral energy distributions.,2008,385,10.1111/j.1365-2966.2008.12856.x,HIP 67231,*  84 UMa
2008AstBu..63..139R,AstBu,Magnetic fields of chemically peculiar stars. I. The catalog of magnetic  CP stars.,2008,63,10.1134/S1990341308020053,HIP 67231,*  84 UMa
2008A&A...491..545N,A&A,Chemically peculiar stars and their temperature calibration.,2008,491,10.1051/0004-6361:200810325,HIP 67231,*  84 UMa
2008MNRAS.389..869E,MNRAS,A catalogue of multiplicity among bright stellar systems.,2008,389,10.1111/j.1365-2966.2008.13596.x,HIP 67231,*  84 UMa
2008CoSka..38..353S,CoSka,Effective temperatures of magnetic CP stars: semi-fundamental data.,2008,38,,HIP 67231,*  84 UMa
2007AN....328...10M,AN,On-line database of photometric observations of magnetic chemically peculiar stars.,2007,328,10.1002/asna.200610705,HIP 67231,*  84 UMa
2007AstBu..62..244G,AstBu,Magnetic field dependence of chemical anomalies in CP stars.,2007,62,10.1134/S1990341307030054,HIP 67231,*  84 UMa
2007PASP..119.1256A,PASP,uvby FCAPT photometry of six small-amplitude mCP stars.,2007,119,10.1086/523900,HIP 67231,*  84 UMa
2007AJ....133..545R,AJ,Adaptive optics photometry and astrometry of binary stars. II. A multiplicity survey of B stars.,2007,133,10.1086/510335,HIP 67231,*  84 UMa
2006AstL...32..759G,AstL,Pulkovo compilation of radial velocities for 35495 stars in a common system.,2006,32,10.1134/S1063773706110065,HIP 67231,*  84 UMa
2006A&A...450..763K,A&A,Evolutionary state of magnetic chemically peculiar stars.,2006,450,10.1051/0004-6361:20054596,HIP 67231,*  84 UMa
2005A&A...441..631P,A&A,On the detection of chemically peculiar stars using {Delta}a photometry.,2005,441,10.1051/0004-6361:20053001,HIP 67231,*  84 UMa
2003A&A...411..447L,A&A,3D mapping of the dense interstellar gas around the Local Bubble.,2003,411,10.1051/0004-6361:20031214,HIP 67231,*  84 UMa
2003A&A...407..631B,A&A,Catalogue of averaged stellar effective magnetic fields. I. Chemically peculiar A and B type stars.,2003,407,10.1051/0004-6361:20030741,HIP 67231,*  84 UMa
2002Ap.....45..408G,Ap,Investigation of weakly magnetic CP stars. I.,2002,45,10.1023/A:1021842710087,HIP 67231,*  84 UMa
2002A&A...392..637S,A&A,"A highly sensitive search for magnetic fields in B, A and F stars.",2002,392,10.1051/0004-6361:20021192,HIP 67231,*  84 UMa
2002ApJ...573..359A,ApJ,Rotational velocities of B stars.,2002,573,10.1086/340590,HIP 67231,*  84 UMa
2002A&A...393..897R,A&A,Rotational velocities of A-type stars. II. Measurement of vsini in the northern hemisphere.,2002,393,10.1051/0004-6361:20020943,HIP 67231,*  84 UMa
